,title,author,intro,tags,genre,series_count,view_count,recommend_count,link
0,독점 아포칼립스 휴게소 키우기,흙색,세상이 망했어도 쉬어갈 곳은 필요한 법이다.,"현대판타지,게임시스템,경영,좀비,생존,시스템,아포칼립스,영지,악마,상태창","현대판타지, 판타지",5 회,738,37,https://novel.munpia.com/427623
1,독점 물럿거라! 안평대군 행차시다.,보명천,"안평대군이 대한민국에서 다시 조선으로 돌아갔다.

대한민국의 현대물품의 지원과 역사를 아는 안평대군이 조선을 새롭게 할것이다.","현대판타지,대체역사","대체역사, 현대판타지",10 회,"7,770",305,https://novel.munpia.com/426166
2,독점 괴물 신입 공무원이 너무 강함,황시우,"악당의 실험체로 악당의 회사에 수없이 굴려졌다.
병가도 못 쓰게 하는 이따위 곳은 필요 없다.
이제 악당을 때려잡는 특별 공무원이 되겠다.","집착,착각,공무원,검은머리,능력자,시한부,구원","현대판타지, 판타지",22 회,"14,438",550,https://novel.munpia.com/425560
3,독점 헌터가 제작을 너무 잘함,E787,"마공학이 극한으로 발달해 있던 콘라드 시티.

그곳에서 10년 만에 한국으로 돌아와서 각성했다.

제작 계열 헌터로.

콘라드 시티의 모든 마공학 이론을 기억하는 AI와 함께.","현대판타지,퓨전,게이트,게임시스템","현대판타지, 퓨전",51 회,"755,955","17,015",https://novel.munpia.com/421226
4,독점 무공으로 사기침,쿠쿠하스,무공으로 현대에서 할 수 있는 모든 일들.,"현대판타지,퓨전,무협,스포츠,격투,빙의,사이다","현대판타지, 스포츠",46 회,"1,632,555","32,891",https://novel.munpia.com/422566
5,독점 국뽕 안 하면 죽음,언행일치,"'매국노', '하남자', '겁쟁이', '망나니'라고 불렸던 내가.
이제는 이렇게 불린다.
'세계 최강' 그리고 '독재자'라고.","현대판타지,던전,레이드,복수,아카데미,육성,회귀,고인물,대한민국,탑등반물","현대판타지, 판타지",51 회,"213,722","3,174",https://novel.munpia.com/422332
6,독점 내 서버에 게이트가 열림,하늘바다땅,혼자 뿐인 싱글 서버에 정체 모를 사람들이 찾아오기 시작했다,"판타지,퓨전,게이트,육성,착각","판타지, 퓨전",11 회,"1,205",47,https://novel.munpia.com/426692
7,독점 무한진화하는 마왕이 되었다.,스노우베어,"마왕이 되었다.
마물들을 먹어야 살아남을 수 있는 마왕이.","판타지,퓨전,게임,게임시스템,마법,빙의,시스템,영지,육성,이세계","퓨전, 판타지",11 회,674,23,https://novel.munpia.com/426719
8,독점 천재 감독들이 내 연기를 너무 좋아함,펭귄소다,"얼떨결에 다시 시작한 연기.
사람들이 자꾸만 나를 천재라고 부른다.","현대판타지,드라마,천재,연예계,배우","현대판타지, 드라마",18 회,"3,525",55,https://novel.munpia.com/425764
9,독점 2회차 매니저가 천재 배우를 독식함,루틀,"로드 매니저로 아르바이트를 나갔다가 촬영장을 찢었다.
그 후 내 삶에 화이트 인과 프레임 아웃이 들어왔다.","연예계,감독,매니저,배우,작가,먼치킨",현대판타지,55 회,"183,262","6,450",https://novel.munpia.com/422280
10,독점 1조클럽 복싱천재,비수(飛秀),"두 주먹으로 1조를 벌어버린 사나이
그게 바로 나다.

[1조 클럽 진입까지 정성껏 모시겠습니다.]
[챔피언 가이드를 시작합니다.]","현대판타지,스포츠,게임시스템,격투,사이다,시스템,천재,운동선수,먼치킨,상태창","스포츠, 퓨전",51 회,"642,255","12,269",https://novel.munpia.com/421517
11,독점 귀환했더니 너무 먼치킨됨,티탄토,귀환했더니 너무 먼치킨됨,"판타지,현대판타지","현대판타지, 판타지",15 회,"17,632",298,https://novel.munpia.com/426421
12,독점 진시황의 아들이 되었다,설차,"위대한 폭군, 시황제(始皇帝)의 장남이 되었다.

시황제의 사후까지 2년.
앞으로 항우와 유방을 대적할 방법을 찾아야 한다.","대체역사,빙의,천재,전쟁,정치","대체역사, 전쟁·밀리터리",17 회,"19,551",596,https://novel.munpia.com/425916
13,독점 쉬카리 오브 두르가,남운™,"CQ의 S급 MM 헌터 장영훈.

지구상 곳곳에서 이제까지 나타난 적이 없는, 관련 기록이 없는 미스터리 몬스터 즉 MM이 나타났다.
이를 범지구적 생물학적 재해로 각국 정부 대표들이 UN 총회에서 규정하고 UN 산하에 긴급 MM 대응 팀 CQ를 신설하였다.
조사 및 퇴치, 격멸.
그것이 바로 CQ에 주어진 임무다.

전 세계에 나타난 MM의 소탕과 특이 현상 확인을 위해 장영훈은 오늘도 임무에 나선다.

“날 두려워하지 않아도. 이제부터 내가 쏠 총탄은 아주 많이 두려워해야 할 거야.""","판타지,퓨전,SF,전쟁_밀리터리,게이트,이능력,초능력,헌터","퓨전, 판타지",36 회,"3,503",48,https://novel.munpia.com/423929
14,독점 천마의 아내를 유혹해버렸다,카페人,"""나를 연모해줘.""

내게 고백했다.
마교 신녀이자 천마의 아내인 그녀가.","무협,착각,회귀",무협,39 회,"294,782","5,996",https://novel.munpia.com/423185
15,독점 해골병 마스터,돈트스탑,"나는 가만히 뒷짐만 지고 있을 뿐이다.
그런데 수많은 해골 병사.
그들이 내게 돈을 쓸어다 준다.","현대판타지,퓨전,시스템,탑등반물","현대판타지, 퓨전",31 회,"254,723","6,426",https://novel.munpia.com/423994
16,독점 아포칼립스에서 마법 앱 개발자 버전을 주웠다,하프타이퍼,"<마도공학 애플리케이션 개발자 버전을 실행하신 것을 축하드립니다.>
모두가 스마트폰으로 마법을 쓰는 멸망한 세상에서, 나만이 개발자 버전을 쓴다.","현대판타지,마법,시스템,아이템,아포칼립스,포스트아포칼립스","현대판타지, 퓨전",24 회,"3,213",80,https://novel.munpia.com/425136
17,독점 일인군단 전천후 드론마스터,고라밀덕,"상성 없음.
파티 필요없음.
무상성의 일인군단 드론마스터가 되었다.","판타지,현대판타지,시스템,탑등반물","현대판타지, 판타지",31 회,"202,524","4,791",https://novel.munpia.com/424125
18,독점 광란의 천마,블루티풀,"미친 천마, 이계로 전생하다.","판타지,퓨전,무협,천마,사이다,먼치킨","판타지, 퓨전",18 회,"9,127",468,https://novel.munpia.com/426462
